annee;id_zone;id_quartier;nom_quartier;ref;max;min
2022;2;31;Madeleine;33.4;40.08;23.38
2022;5;52;Croulebarbe;20.4;24.48;14.28
2022;5;35;Faubourg-Montmartre;20.4;24.48;14.28
2022;14;47;Bercy;21.2;25.44;14.84
2022;11;43;Roquette;25.4;30.48;17.78
2022;13;73;Villette;23.3;27.96;16.31
2022;13;78;Saint-Fargeau;16.1;19.32;11.27
2022;2;15;Arsenal;26.2;31.44;18.34
2022;2;16;Notre-Dame;35.7;42.84;24.99
2022;2;22;Odeon;29.5;35.4;20.65
2022;4;8;Bonne-Nouvelle;31.8;38.16;22.26
2022;10;18;Jardin-des-Plantes;24.3;29.16;17.01
2022;5;35;Faubourg-Montmartre;23.9;28.68;16.73
2022;5;33;Saint-Georges;26.2;31.44;18.34
2022;3;62;Muette;24.7;29.64;17.29
2022;5;37;Saint-Vincent-de-Paul;26.8;32.16;18.76
2022;6;65;Ternes;24.3;29.16;17.01
2022;3;32;Europe;27.9;33.48;19.53
2022;2;21;Monnaie;28.5;34.2;19.95
2022;2;30;Faubourg-du-Roule;29.2;35.04;20.44
2022;11;54;Parc-de-Montsouris;26.3;31.56;18.41
2022;6;58;Necker;22.6;27.12;15.82
2022;10;44;Sainte-Marguerite;25.3;30.36;17.71
2022;2;30;Faubourg-du-Roule;37.6;45.12;26.32
2022;4;19;Val-de-Grace;28.5;34.2;19.95
2022;4;17;Saint-Victor;24.8;29.76;17.36
2022;11;39;Porte-Saint-Martin;23.6;28.32;16.52
2022;11;71;Goutte-d'Or;21.6;25.92;15.12
2022;9;70;Clignancourt;30.7;36.84;21.49
2022;3;62;Muette;26.9;32.28;18.83
2022;9;69;Grandes-Carrières;27.6;33.12;19.32
2022;10;18;Jardin-des-Plantes;28.1;33.72;19.67
2022;10;49;Salpêtrière;26.0;31.2;18.2
2022;11;40;Hôpital-Saint-Louis;26.7;32.04;18.69
2022;2;34;Chaussée-d'Antin;35.7;42.84;24.99
2022;5;35;Faubourg-Montmartre;25.7;30.84;17.99
2022;2;21;Monnaie;29.0;34.8;20.3
2022;2;22;Odeon;33.4;40.08;23.38
2022;2;21;Monnaie;27.7;33.24;19.39
2022;1;25;Saint-Thomas-d'Aquin;25.1;30.12;17.57
2022;4;17;Saint-Victor;27.8;33.36;19.46
2022;5;38;Porte-Saint-Denis;28.3;33.96;19.81
2022;3;64;Chaillot;27.4;32.88;19.18
